timestamps,TP9,AF7,AF8,TP10,Right AUX
1732204952.008,-1.465,-18.066,-8.301,-22.949,0.000
1732204952.012,-13.184,-19.531,0.977,2.930,0.000
1732204952.015,-20.020,-26.855,-1.465,-18.066,0.000
1732204952.019,-17.090,-24.414,-18.555,-33.691,0.000
1732204952.023,-40.527,-25.879,-21.484,-67.383,0.000
1732204952.027,-41.504,-37.109,-17.090,-63.965,0.000
1732204952.031,-31.250,-29.297,-12.695,-36.133,0.000
1732204952.035,-20.508,-17.578,-11.719,-28.320,0.000
1732204952.039,-14.648,-21.484,-15.625,-54.199,0.000
1732204952.043,-31.738,-29.297,-25.879,-68.359,0.000
1732204952.047,-41.016,-30.762,-21.973,-57.129,0.000
1732204952.051,-31.250,-23.438,-17.090,-32.227,0.000
1732204952.054,-35.645,-27.832,-16.602,-26.367,0.000
1732204952.058,-29.785,-26.367,-26.855,-50.293,0.000
1732204952.062,-18.555,-28.320,-21.973,-67.383,0.000
1732204952.066,-48.340,-35.645,-10.742,-65.918,0.000
1732204952.070,-50.293,-25.391,-23.438,-46.387,0.000
1732204952.074,-9.277,-24.902,-31.738,-20.020,0.000
1732204952.078,-20.508,-26.367,-12.695,-7.812,0.000
1732204952.082,-40.527,-25.879,-8.301,-28.320,0.000
1732204952.086,-34.180,-35.645,-16.113,-28.809,0.000
1732204952.090,-10.254,-26.855,-17.090,-30.762,0.000
1732204952.094,-3.418,-17.578,-20.020,-20.020,0.000
1732204952.098,-27.832,-30.273,-22.949,-13.184,0.000
1732204952.102,-22.461,-32.715,-21.484,-38.086,0.000
1732204952.105,-17.090,-16.602,-14.160,-39.551,0.000
1732204952.109,-28.809,-8.789,-18.555,-26.855,0.000
1732204952.113,-19.531,-9.277,-21.973,-12.695,0.000
1732204952.117,-2.930,-11.719,-8.301,3.418,0.000
1732204952.121,-16.602,-12.695,-9.277,-2.930,0.000
1732204952.125,-16.602,-12.695,-18.555,-19.043,0.000
1732204952.129,-13.672,-19.043,-14.648,-9.277,0.000
1732204952.133,-18.066,-18.066,-16.113,8.301,0.000
1732204952.137,-1.465,-17.090,-20.508,5.859,0.000
1732204952.141,-10.742,-24.414,-18.555,-3.906,0.000
1732204952.145,-15.625,-18.066,-24.414,-5.859,0.000
1732204952.148,-20.020,-12.695,-20.508,1.465,0.000
1732204952.152,-24.414,-24.414,-16.113,-20.020,0.000
1732204952.156,-30.762,-32.227,-9.766,-26.855,0.000
1732204952.160,-38.086,-37.598,-4.395,-16.602,0.000
1732204952.164,-20.020,-33.691,-9.277,-20.996,0.000
1732204952.168,-18.555,-25.391,-7.812,-44.922,0.000
1732204952.172,-28.809,-23.926,-8.789,-33.203,0.000
1732204952.176,-27.344,-19.531,-6.836,-7.324,0.000
1732204952.180,-17.090,-15.625,-3.418,4.883,0.000
1732204952.184,-24.902,-17.090,-8.301,-15.137,0.000
1732204952.188,-50.781,-21.973,-14.160,-39.551,0.000
1732204952.192,-29.785,-17.578,-17.090,-30.762,0.000
1732204952.195,-13.184,-17.090,-10.254,-42.480,0.000
1732204952.199,-28.320,-18.066,-10.254,-37.109,0.000
1732204952.203,-42.969,-23.438,-9.766,-42.969,0.000
1732204952.207,-41.504,-30.273,-17.578,-42.480,0.000
1732204952.211,-6.348,-18.066,-24.902,-18.555,0.000
1732204952.215,0.488,-13.672,-15.137,-38.574,0.000
1732204952.219,-21.973,-19.531,-13.184,-29.297,0.000
1732204952.223,-30.762,-17.090,-11.719,-11.230,0.000
1732204952.227,-35.156,-17.578,-9.277,-5.859,0.000
1732204952.231,-35.156,-25.391,-15.625,-18.066,0.000
1732204952.235,-44.434,-27.344,-10.742,-11.230,0.000
1732204952.238,-42.969,-24.414,-20.020,-25.391,0.000
1732204952.242,-29.297,-27.832,-29.785,-43.945,0.000
