timestamps,TP9,AF7,AF8,TP10,Right AUX
1733122771.811,-33.691,-21.484,-39.062,-21.484,0.000
1733122771.815,-47.363,-22.461,-40.527,-24.414,0.000
1733122771.819,-41.016,-16.602,-41.504,-27.832,0.000
1733122771.823,-24.414,-16.602,-41.992,-22.949,0.000
1733122771.827,-19.531,-19.043,-38.086,-18.555,0.000
1733122771.831,-34.180,-21.973,-38.086,-21.973,0.000
1733122771.835,-46.387,-24.414,-41.504,-30.273,0.000
1733122771.839,-37.109,-22.461,-41.016,-38.574,0.000
1733122771.842,-33.691,-20.508,-41.504,-42.969,0.000
1733122771.846,-34.180,-25.391,-44.434,-42.480,0.000
1733122771.850,-33.203,-34.668,-43.457,-38.574,0.000
1733122771.854,-30.273,-36.621,-35.645,-38.574,0.000
1733122771.858,-13.672,-29.785,-35.645,-39.062,0.000
1733122771.862,0.000,-25.879,-38.086,-39.062,0.000
1733122771.866,2.930,-24.414,-35.645,-33.691,0.000
1733122771.870,-4.395,-28.320,-35.645,-26.367,0.000
1733122771.873,-29.785,-38.574,-38.086,-28.809,0.000
1733122771.877,-41.992,-36.133,-41.504,-37.109,0.000
1733122771.882,-31.250,-34.668,-46.875,-31.738,0.000
1733122771.886,-38.086,-44.922,-52.734,-32.227,0.000
1733122771.889,-53.711,-55.176,-55.176,-34.668,0.000
1733122771.893,-64.941,-59.570,-54.688,-31.250,0.000
1733122771.897,-61.523,-57.617,-51.758,-36.621,0.000
1733122771.901,-41.504,-50.293,-45.898,-31.250,0.000
1733122771.905,-33.691,-38.574,-37.598,-27.344,0.000
1733122771.909,-41.992,-36.133,-35.156,-26.855,0.000
1733122771.913,-61.523,-42.480,-39.551,-26.855,0.000
1733122771.917,-63.477,-43.457,-38.086,-31.250,0.000
1733122771.920,-44.434,-38.086,-33.691,-28.320,0.000
1733122771.924,-39.551,-38.086,-28.809,-24.902,0.000
1733122771.929,-46.387,-44.922,-29.297,-22.949,0.000
1733122771.932,-55.176,-48.828,-39.062,-24.414,0.000
1733122771.936,-55.664,-42.480,-41.016,-30.273,0.000
1733122771.940,-38.086,-39.062,-41.016,-35.645,0.000
1733122771.944,-29.297,-41.016,-42.480,-34.180,0.000
1733122771.948,-31.738,-46.387,-39.062,-34.180,0.000
1733122771.952,-47.852,-46.875,-35.645,-39.062,0.000
1733122771.956,-63.477,-45.898,-40.039,-46.875,0.000
1733122771.960,-46.875,-42.480,-40.039,-47.363,0.000
1733122771.963,-30.762,-40.527,-36.133,-30.273,0.000
1733122771.967,-31.738,-33.691,-33.203,-26.367,0.000
1733122771.971,-37.598,-36.133,-35.645,-31.738,0.000
1733122771.975,-46.387,-41.992,-36.621,-36.133,0.000
1733122771.979,-35.156,-33.691,-33.691,-37.109,0.000
1733122771.983,-21.973,-32.715,-38.574,-32.715,0.000
1733122771.987,-25.391,-38.574,-39.551,-34.668,0.000
1733122771.991,-34.180,-45.410,-41.992,-29.785,0.000
1733122771.995,-41.504,-41.504,-44.434,-35.156,0.000
1733122771.999,-30.273,-33.691,-38.086,-41.992,0.000
1733122772.003,-16.113,-36.133,-41.504,-35.156,0.000
1733122772.007,-23.926,-44.434,-47.363,-30.762,0.000
1733122772.010,-34.180,-42.480,-48.828,-29.785,0.000
1733122772.014,-44.434,-39.551,-45.898,-42.480,0.000
1733122772.018,-40.039,-44.922,-39.062,-41.016,0.000
1733122772.022,-27.832,-43.457,-41.504,-37.109,0.000
1733122772.026,-27.344,-46.875,-45.898,-36.133,0.000
1733122772.030,-33.691,-51.270,-44.922,-28.809,0.000
1733122772.034,-48.340,-53.223,-45.898,-32.227,0.000
1733122772.038,-45.410,-48.828,-46.875,-40.527,0.000
1733122772.042,-24.414,-44.922,-45.410,-34.668,0.000
1733122772.046,-13.184,-42.480,-38.086,-26.855,0.000
1733122772.050,-16.602,-44.434,-37.109,-25.391,0.000
1733122772.053,-32.227,-57.617,-46.875,-19.531,0.000
1733122772.057,-35.645,-51.758,-42.969,-21.973,0.000
1733122772.061,-15.137,-35.645,-33.691,-21.973,0.000
1733122772.065,-11.719,-36.133,-32.715,-22.461,0.000
1733122772.069,-24.902,-40.039,-33.203,-29.785,0.000
1733122772.073,-41.504,-45.410,-38.574,-37.598,0.000
1733122772.077,-36.621,-45.898,-44.434,-38.574,0.000
1733122772.081,-19.043,-42.969,-43.945,-30.762,0.000
1733122772.085,-19.531,-38.086,-41.992,-24.902,0.000
1733122772.089,-29.785,-43.945,-42.969,-22.461,0.000
1733122772.093,-40.039,-45.898,-40.527,-25.391,0.000
1733122772.096,-39.551,-44.922,-38.574,-22.949,0.000
1733122772.100,-22.461,-35.645,-35.645,-13.672,0.000
1733122772.104,-11.230,-24.414,-37.598,-15.625,0.000
1733122772.108,-12.207,-31.738,-41.016,-15.625,0.000
1733122772.112,-28.809,-41.016,-40.527,-13.184,0.000
1733122772.116,-43.945,-45.898,-46.387,-27.832,0.000
1733122772.120,-27.832,-34.668,-43.457,-35.645,0.000
1733122772.124,-13.672,-31.738,-39.551,-24.902,0.000
1733122772.128,-14.648,-36.133,-39.551,-13.184,0.000
1733122772.132,-26.855,-33.691,-39.551,-14.160,0.000
1733122772.135,-36.133,-32.227,-41.016,-21.484,0.000
1733122772.139,-27.344,-37.598,-40.039,-20.020,0.000
1733122772.143,-17.578,-43.945,-43.457,-10.742,0.000
1733122772.147,-24.414,-34.668,-45.410,-10.254,0.000
1733122772.151,-37.598,-33.691,-44.434,-17.090,0.000
1733122772.155,-51.270,-43.945,-43.457,-14.648,0.000
1733122772.159,-45.898,-40.527,-38.086,-18.555,0.000
1733122772.163,-23.438,-31.250,-34.668,-17.090,0.000
1733122772.167,-19.531,-32.715,-40.527,-10.742,0.000
1733122772.171,-32.227,-36.621,-46.387,-15.625,0.000
1733122772.175,-36.621,-29.297,-45.898,-19.043,0.000
1733122772.178,-30.762,-24.902,-40.039,-23.926,0.000
1733122772.182,-25.391,-29.785,-38.086,-26.367,0.000
1733122772.186,-23.438,-34.668,-40.527,-15.625,0.000
1733122772.190,-28.320,-34.668,-41.016,-15.625,0.000
1733122772.194,-41.992,-27.832,-42.969,-29.297,0.000
1733122772.198,-33.203,-29.297,-45.898,-29.297,0.000
1733122772.202,-16.602,-36.133,-39.062,-26.855,0.000
1733122772.206,-10.254,-31.250,-33.691,-22.949,0.000
1733122772.210,-18.555,-27.832,-38.086,-22.949,0.000
1733122772.214,-41.504,-39.062,-39.551,-30.762,0.000
